比赛,年,月,组别,城市,主办方,队伍数,冠军,亚军,季军,高水平,备注,Tournment,Year,Month,Division,City,Holder,NTeams,1st,2nd,3rd,High_Level,Note
重庆公开赛,2018,10,混合,重庆,重庆飞盘,,深圳鸽队,成都飞盘大,,,,CQ Open,2018,10,Mixed,ChongQing,重庆飞盘,,SZ 鸽队,CD Feipanda,,,
大学生邀请赛,2018,9,大学 混合,长沙,长沙飞盘,,南京师范大学,中南大学,湖南大学,,,大学生Invite,2018,9,College Mixed,ChangSha,长沙飞盘,,Nanjing Normal,Central South,Hunan,,
北京碗,2018,9,混合,北京,BUC,10,上海沪蛙,北京大哥,七月流火,是,,BJ Bowl,2018,9,Mixed,BeiJing,BUC,10,SH Huwa,BJ Big Brother,July Fire,Yes,
袋鼠杯,2018,9,混合,上海,袋鼠,8,,,,,,Calvin's Party,2018,9,Mixed,ShangHai,袋鼠,8,,,,,
上海公开赛,2018,6,公开,上海,SUPA,14,上海出差,香港Nutscracker,,是,,SH Open,2018,6,Open,ShangHai,SUPA,14,SH Chuchai,HK Nutscracker,,Yes,
上海公开赛,2018,6,女子,上海,SUPA,10,上海塞壬,韩国Future Friends,,是,,SH Open,2018,6,Women's,ShangHai,SUPA,10,SH Sirens,KOR Future Friends,,Yes,
长沙公开赛,2018,6,混合,长沙,长沙飞盘,7,长沙湘北,广州Future,,,,CS Open,2018,6,Mixed,ChangSha,长沙飞盘,7,CS Xiangbei,GZ Future,,,
大连公开赛,2018,6,混合,大连,大工飞盘,12,大连联邦,大工蓝精灵,,,,DL Open,2018,6,Mixed,DaLian,大工飞盘,12,DL 联邦,大工蓝精灵,,,
上海青少年赛,2018,5,高中 混合,上海,Jack,18,香港汉基,上海平和,天津枫叶,是,,SH Youth,2018,5,High School Mixed,ShangHai,Jack,18,HK CIS,SH Pinghe,TJ 枫叶,Yes,
南京公开赛,2018,5,公开,南京,南京飞盘,10,北京老炮儿,,,是,,NJ Open,2018,5,Open,NanJing,南京飞盘,10,BJ Laopaoer,,,Yes,
南京公开赛,2018,5,女子,南京,南京飞盘,4,上海塞壬,,,是,,NJ Open,2018,5,Women's,NanJing,南京飞盘,4,SH Sirens,,,Yes,
天津公开赛,2018,5,混合,天津,天津速必得,7,北方,天体速必得,老北京儿,,,TJ Open,2018,5,Mixed,TianJin,天津速必得,7,北方,天体Speed,老BJ 儿,,
河南邀请赛,2018,5,混合,郑州,西亚斯黄帝,6,大连菜鸟博士,西亚斯黄帝,合肥庐州,,,河南Invite,2018,5,Mixed,ZhengZhou,西亚斯黄帝,6,DL 菜鸟博士,西亚斯黄帝,合肥庐州,,
CUUA总决赛,2018,4,大学 混合,长沙,CUUA,12,广东工业大学,宁波诺丁汉大学,大连理工大学,是,,CUUA Champ,2018,4,College Mixed,ChangSha,CUUA,12,Guangdong Technology,Nottingham Ningbo,Dalian Technology,Yes,
西南联赛,2018,4,混合,成都,成都飞盘大,6,,,,,,South West League,2018,4,Mixed,Chengdu,成都飞盘大,6,,,,,
广州公开赛,2018,3,公开,佛山,GUPA,11,广州超级风暴,香港Nutscracker,,是,又名Dancing Bear,GZ Open,2018,3,Open,FoShan,GUPA,11,GZ Super Storm,HK Nutscracker,,Yes,又名Dancing Bear
广州公开赛,2018,3,女子,佛山,GUPA,,H.S.B.C,香港Black Kite,,是,又名Dancing Bear,GZ Open,2018,3,Women's,FoShan,GUPA,,H.S.B.C,HK Black Kite,,Yes,又名Dancing Bear
深圳邀请赛,2018,3,混合,深圳,深圳飞盘,12,上海乃肥,香港DoubleT,,是,又名龙岗杯,SZ Invite,2018,3,Mixed,ShenZhen,深圳飞盘,12,SH 乃肥,HK DoubleT,,Yes,又名龙岗杯
常州交流赛,2018,3,混合,常州,贝特曼体育,8,上海Huligan,南体猎户,,,,CZ 交流赛,2018,3,Mixed,ChangZhou,贝特曼体育,8,SH Huligan,南体猎户,,,
CUUA东北,2018,,大学 混合,大连,CUUA,,大连理工大学,大连海事大学,大连艺术学院,,,CUUA North East,2018,,College Mixed,DaLian,CUUA,,Dalian Technology,Dalian Maritime,Dalian Art College,,
